PowerDensity,CapacityDensity,TurbineDensity
0.541880362,1.33380086,0.579913418
0.474016727,0.970822838,0.472292191
0.773335254,1.457938475,0.728969237
1.697107739,2.490227476,1.660151651
0.03509696,0.807754443,0.538502962
0.730440815,1.016600876,0.540745147
0.402207246,0.737704918,0.409836066
0.710922669,1.229407021,0.683003901
0.420758725,0.908677874,0.454338937
0.786204762,1.48004186,0.896995067
0.261997789,0.677200903,0.564334086
0.796665614,1.369863014,0.582920431
1.028726464,2.277904328,1.265502404
0.288909005,0.919117647,0.459558824
0.514267728,0.615337044,0.309214595
0.839136419,1.725073655,1.098361503
0.699404378,0.865424815,0.534212849
0.272044136,0.912408759,0.45620438
0.475520012,1.498216409,0.891795482
0.617959903,1.26486213,0.505944852
0.624709457,1.32032147,0.861079219
1.243383488,4.629289441,2.571827467
0.693051567,1.300734604,0.679256675
1.1562641,2.169886213,1.05848108
1.817292711,2.232325562,1.116162781
1.098651712,2.389277389,1.165501166
0.940516396,2.626405357,3.50187381
1.09519667,4.955947137,6.607929515
0.363832139,2.023996554,0.874214474
0.528796471,1.331220285,0.792393027
1.909681857,4.000869754,1.739508589
0.208680632,0.795755968,1.326259947
0.422578755,0.604495747,0.303766707
0.458864965,1.177072671,0.511770727
0.110158417,1.2,2
0.295453779,1.185302252,0.395100751
1.21113469,2.987452699,1.991635132
0.341717422,1.075268817,1.344086022
0.603829511,1.178087571,0.589043786
1.098308113,1.857585139,1.238390093
1.463374465,2.527167046,1.263583523
0.934104284,3.701355701,5.608114698
0.72006276,1.219115735,0.487646294
2.213844669,5.687956784,1.938353988
0.707168636,1.759367862,1.172911908
0.613805707,1.125370411,0.354388002
0.549537031,1.147446931,0.573723465
0.813261864,1.382102471,0.837637861
1.277341964,2.753872633,1.475288911
0.994832819,2.126354096,1.417569397
1.292814344,2.461033634,1.367240908
0.632742828,1.221898471,0.39305825
1.287265006,2.641560553,1.761040368
0.4069442,1.187598282,0.516347079
1.265555057,2.265213665,1.132606832
0.365247151,0.688705234,1.377410468
0.531189844,1.54146542,0.411057445
1.076640779,1.37149672,0.596302922
0.356533382,1.203369434,0.601684717
0.506535326,0.858918129,0.365497076
0.477462607,0.779912498,0.380445121
0.370590407,1.347368421,0.842105263
0.629099897,2.340917723,1.139384732
0.222587082,0.731284676,0.244821392
1.119032993,1.607688227,0.465996587
0.394763182,0.830737279,0.41536864
0.634212374,1.212121212,0.609106137
0.422898313,0.707518802,0.240556393
1.28146565,3.327196213,1.446607049
0.820828648,2.566756365,1.138480646
0.254297719,0.855106888,0.475059382
0.855955749,1.307759372,0.653879686
0.360345392,0.610804174,0.306936771
0.954331506,2.106741573,0.702247191
0.396787279,0.584581659,0.365363537
0.6693137,1.710233593,0.834260289
0.342267524,0.658922296,0.439281531
0.455048593,0.87962963,0.462962963
1.24632197,2.745334136,1.444912703
0.65877851,1.175503096,0.653057276
0.379858159,0.909090909,1.377410468
0.952189789,1.65329761,0.718825048
0.753228924,1.266406269,0.703559038
1.039073072,1.375515818,0.550206327
0.38436332,1.054063244,0.680040802
1.452221078,3.581987719,2.387991813
0.724437014,1.266794626,0.767754319
0.387450073,1.56555773,1.956947162
2.59405517,4.214295552,2.341275306
0.294611309,1.645585734,0.914214296
0.449231232,0.82972583,0.360750361
0.43156962,0.721153846,0.240384615
0.466084988,0.766908866,0.511272577
0.895506326,1.673145175,1.014027379
0.222049569,0.461667599,0.279798545
0.691208301,1.444427551,0.722213775
1.25575344,2.28105163,1.140525815
0.57744126,1.140122243,0.518237383
0.304386749,0.78313253,1.204819277
1.853187761,2.875599083,1.250260471
0.464576666,0.619551681,0.311332503
0.421486779,0.820674,0.349222979
0.948741818,2.634178466,0.878059489
0.957917568,1.834483707,0.917241854
0.993104891,2.447441606,1.159959077
0.917555919,1.586671956,0.793335978
0.698593159,1.349649091,0.44988303
0.132907073,0.645930637,0.496869721
0.602659556,0.926595641,0.488710781
0.408604426,1.185656449,0.578368999
0.890573427,1.428571429,0.714285714
1.003777208,3.607614369,2.405076246
0.297696767,1.184834123,0.394944708
0.971464756,1.885467115,0.628489038
0.518140388,0.924641701,0.462320851
0.591102118,0.878588791,0.403500037
0.165908751,0.745473908,0.709975151
0.924447591,1.388418557,0.677277345
0.859920185,1.053370787,0.457987298
0.565303768,1.149731729,0.499883361
0.673487583,1.083963283,0.656947444
0.917916999,1.478010094,0.720980534
0.450679741,0.897940325,0.404282507
1.075836911,3.946375718,1.770065579
0.460399348,1.005016123,1.522751702
0.597574023,0.709935186,0.319630649
0.664262479,1.987441673,1.065729593
0.700804562,1.104867449,0.480377152
1.086173275,2.970570808,1.264072684
0.841425667,1.924228171,0.962114085
0.371672553,0.991735537,1.652892562
0.484217487,0.943396226,1.048218029
0.468713446,0.97394692,0.48697346
1.047633017,1.679591346,1.017934149
0.549657248,1.654929577,0.704225352
1.313749915,2.368801156,1.155512759
0.774198275,0.953187884,0.529548824
0.25582992,0.61306223,0.308071473
0.049585434,0.176742881,0.280544256
0.614883993,1.555451859,0.622180744
0.347620661,0.777202073,0.518134715
0.356711091,0.714285714,0.446428571
0.984717572,1.953315753,0.976657877
0.648644494,1.29093199,0.629722922
0.393824768,0.837871806,0.418935903
0.583136915,1.145400825,0.715875516
0.992211688,2.304260202,1.001852262
0.464213665,1.051248357,1.314060447
